Title;Language;Genre;Runtime;IMDB Score
A Secret Love;English;Documentary;82;7.9
Icarus;English;Documentary;120;7.9
Marriage Story;English;Drama;136;7.9
The Ivory Game;English;Documentary;112;7.9
Struggle: The Life and Lost Art of Szukaiski;English;Documentary;105;8
Chasing Coral ;English;Documentary;89;8.1
My Octopus Teacher;English;Documentary;85;8.1
Rising Phoenix;English;Documentary;106;8.1
13th;English;Documentary;100;8.2
Disclosure: Trans Lives on Screen;English;Documentary;107;8.2
Klaus;English;Animation/Christmas/Comedy/Adventure;97;8.2
Seaspiracy;English;Documentary;89;8.2
The Three Deaths of Marisela Escobedo;Spanish;Documentary;109;8.2
Cuba and the Cameraman ;English;Documentary;114;8.3
Dancing with the Birds;English;Documentary;51;8.3
Ben Platt: Live from Radio City Music Hall;English;Concert Film;85;8.4
Taylor Swift: Reputation Stadium Tour;English;Concert Film;125;8.4
Winter on Fire: Ukraine's Fight for Freedom;English/Ukranian/Russian;Documentary;91;8.4
Springsteen on Broadway;English;One-man show;153;8.5
Emicida: AmarElo - It's All For Yesterday;Portuguese;Documentary;89;8.6
David Attenborough: A Life on Our Planet;English;Documentary;83;9
