Title;Language;Genre;Runtime;IMDB Score
One-Way to Tomorrow;Turkish;Romance;90;5.6
Sarah Cooper: Everything's Fine;English;Variety show;49;5.6
The Last Laugh;English;Comedy-drama;98;5.6
The Last Paradiso;Italian;Romantic drama;107;5.6
The Midnight Sky;English;Science fiction;118;5.6
The Paramedic;Spanish;Thriller;94;5.6
The Sleepover;English;Comedy;103;5.6
Vampires vs. the Bronx;English;Horror comedy;86;5.6
Why Did You Kill Me?;English;Documentary;83;5.6
A Week Away;English;Christian musical;97;5.7
Caught by a Wave;Italian;Romantic teen drama;99;5.7
Christmas Inheritance;English;Romantic drama;104;5.7
Dad Wanted;Spanish;Family;102;5.7
El Camino Christmas;English;Dark comedy;89;5.7
Eli;English;Horror;98;5.7
Ginny Weds Sunny;Hindi;Romantic comedy;125;5.7
Good Sam;English;Drama;89;5.7
Lionheart;English;Comedy;94;5.7
Little Evil;English;Comedy horror;94;5.7
One Take;Thai;Documentary;85;5.7
Out of Many, One;English;Documentary;34;5.7
Point Blank;English;Action;86;5.7
Prime Time;Polish;Thriller;91;5.7
The Do-Over;English;Action comedy;108;5.7
The Holiday Calendar;English;Romantic comedy;95;5.7
The Woman in the Window;English;Psychological thriller;100;5.7
The Wrong Missy;English;Comedy;90;5.7
Velvet Buzzsaw;English;Thriller;112;5.7
Yes Day;English;Comedy;86;5.7
15 August;Marathi;Comedy-drama;124;5.8
A California Christmas;English;Romantic comedy;107;5.8
A Christmas Prince;English;Romantic comedy;92;5.8
All Day and a Night;English;Drama;121;5.8
American Son;English;Drama;90;5.8
Barry;English;Biopic;104;5.8
Candy Jar;English;Comedy;92;5.8
Choked: Paisa Bolta Hai;Hindi;Drama;114;5.8
Class of '83;Hindi;Drama;98;5.8
Extinction;English;Science fiction/Thriller;95;5.8
Happy Anniversary;English;Romantic comedy;78;5.8
I Am All Girls;English;Thriller;107;5.8
Let It Snow;English;Romantic comedy;92;5.8
Mascots;English;Mockumentary;95;5.8
Operation Christmas Drop;English;Romantic comedy;96;5.8
Rajma Chawal;Hindi;Comedy-drama;118;5.8
Rich in Love;Portuguese;Romantic comedy;105;5.8
Rising High;German;Satire;94;5.8
Rodney King;English;One-man show;52;5.8
Sierra Burgess Is a Loser;English;Romantic comedy-drama;105;5.8
Small Crimes;English;Dark comedy;95;5.8
Special Correspondents;English;Satire;100;5.8
TAU;English;Science fiction/Thriller;97;5.8
The After Party;English;Comedy;89;5.8
The Babysitter: Killer Queen;English;Comedy/Horror;102;5.8
The Claus Family;Dutch;Fantasy;96;5.8
The Kissing Booth 2;English;Romantic comedy;131;5.8
The Perfect Date;English;Romantic comedy;89;5.8
What We Wanted;German;Drama;93;5.8
You've Got This;Spanish;Romantic comedy;111;5.8
6 Balloons;English;Drama;75;5.9
A Fall from Grace;English;Thriller;120;5.9
Amateur;English;Sports-drama;96;5.9
Army of the Dead;English;Zombie/Heist;148;5.9
Cam;English;Psychological horror;94;5.9
Earthquake Bird;English;Mystery;107;5.9
Frankenstein's Monster's Monster, Frankenstein;English;Mockumentary;32;5.9
Horse Girl;English;Drama;104;5.9
Notes from Dunblane: Lesson from a School Shooting;English;Documentary;23;5.9
Maska;Hindi;Romantic comedy;111;5.9
The Decline;French;Thriller;83;5.9
The Minimalists: Less Is Now;English;Documentary;53;5.9
The Polka King;English;Comedy-drama;95;5.9
The Prom;English;Musical;132;5.9
True Memoirs of an International Assassin;English;Action comedy;98;5.9
Ultras;Italian;Sports film;108;5.9
Come Sunday;English;Biopic;106;6
Forgive Us Our Debts;Italian;Drama;104;6
iBoy;English;Science fiction/Thriller;90;6
Lovefucked;Hindi;Drama;106;6
Juanita;English;Drama;90;6
Murder Mystery;English;Comedy mystery;97;6
Project Power;English;Superhero;113;6
Rebecca;English;Romantic thriller;123;6
The Christmas Chronicles: Part Two;English;Christmas comedy;115;6
The Kissing Booth;English;Romantic comedy;105;6
The Princess Switch;English;Romantic comedy;101;6
